OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
+,8499,3266,1687,2042,1615,3064,3434,9594,1549,9274
-,842,0,0,0,0,0,0,0,0,0
+,1014,3904,7728,7015,2097,6582,4845,4362,6910,1069
+,2061,9782,5820,2281,8791,9776,7932,6784,5532,8757
-,735,0,0,0,0,0,0,0,0,0
+,8694,108,1379,8499,6725,1706,7156,3492,8509,2264
+,4591,7407,9332,4120,8736,3417,699,3455,188,7709
+,3423,5934,2743,6841,9837,1314,8105,3106,6444,7315
+,1136,8763,1230,5886,5613,7478,6669,2908,9944,9415
+,60,3033,4145,7882,3559,3175,4697,5953,8834,98
+,5046,1089,2005,9043,9667,8824,9383,932,345,3034
+,2714,5689,520,2177,4233,1113,9098,3974,9425,9482
+,617,6107,7681,3233,7004,7939,2277,9442,3710,133
+,2441,7508,2863,1303,4779,345,515,5823,168,8317
+,9734,1801,2326,5441,5166,2982,3233,1033,4441,2164
-,893,0,0,0,0,0,0,0,0,0
+,1693,1270,2132,249,7472,6608,9607,2302,3477,3798
+,7667,8896,7657,1967,2909,582,3765,6502,3297,2036
+,2173,9857,8900,6755,4223,6793,2084,2143,6944,5977
+,6356,6047,1761,4215,4271,8257,3427,2302,4566,2557
+,9095,4164,6264,9765,8460,3662,2856,8348,7456,3805
+,2468,8633,6888,1693,7898,5063,9963,3168,5600,6964
+,4373,3160,8979,6220,7092,9440,1923,9460,9735,5918
+,9740,7401,7940,6261,731,1434,3144,9588,5650,7367
-,807,0,0,0,0,0,0,0,0,0
+,2405,3351,6741,3006,6545,25,3546,8247,7552,42
+,6213,5931,3663,2227,3145,6529,2890,6920,8532,1385
+,2860,956,2376,8509,7885,8232,8868,6512,9158,5506
+,3389,2108,6941,3567,8409,8505,7505,7536,1081,6913
+,4388,8458,6417,6649,8441,3782,6165,2359,2836,2874
+,6933,6509,601,2314,4872,43,3263,38,1847,9859
+,24,42,2266,8168,9436,7148,4770,8473,1301,5421
+,8784,9037,378,7096,1835,1450,5743,4301,47,7812
+,5007,8006,4150,3155,3115,4417,7856,3153,8657,6015
+,2270,6127,4619,5878,6154,611,1706,8634,5091,2319
+,8927,1638,1337,2883,8851,9746,3378,3953,50,8374
+,7071,6440,2821,4699,4339,3484,3070,8428,1486,1123
+,5573,4008,1126,1638,8165,2771,5792,2264,622,7576
+,906,9524,3467,3861,5255,5089,5171,8019,5198,8141
+,9445,3749,9673,1023,2263,2984,9749,6719,965,2151
-,319,0,0,0,0,0,0,0,0,0
+,7620,7214,1493,20,6918,6502,1823,3272,7014,3779
+,5956,1810,828,6414,3862,4746,4674,4203,1873,1596
-,471,0,0,0,0,0,0,0,0,0
-,660,0,0,0,0,0,0,0,0,0
+,1113,8877,7928,8922,740,4319,1128,5179,3583,7349
+,7933,5304,5258,527,3795,2254,5091,461,2596,8532
+,3128,4917,8677,9095,8856,6712,1645,6043,9590,9662
+,6696,4198,1283,5483,1908,7239,3457,3315,365,3216
+,3048,632,8595,8214,4233,6008,7253,2629,1257,7317
+,6476,2686,1618,5074,468,7398,6825,1019,1548,2526
-,165,0,0,0,0,0,0,0,0,0
+,8645,2153,3344,2128,6495,7718,4008,1866,303,3299
-,433,0,0,0,0,0,0,0,0,0
+,1166,4575,4460,8593,3831,3673,1765,9269,8885,7567
+,4772,4236,5464,6012,1592,7664,9455,3288,7089,7074
+,1986,66,2493,4498,3922,2586,9251,7327,2457,496
+,731,7723,4162,4236,7652,8565,2621,1795,9678,8613
+,1749,4588,9780,8825,7282,1707,5060,7851,2397,5083
+,1908,5356,2765,3495,7142,8115,5313,5146,1262,6454
+,3528,1009,129,6984,1786,7829,1746,7461,7865,6224
+,441,8730,8251,8330,2900,5487,4441,9614,8761,2435
+,6544,3323,1844,8586,2358,4407,8157,464,6459,9827
+,4360,7249,7103,3208,2793,9395,566,3269,1912,6648
+,8993,4456,4336,9038,4460,4663,2345,2532,8550,7707
-,53,0,0,0,0,0,0,0,0,0
+,505,909,1554,7113,4644,7570,5049,5330,9154,901
+,6305,5067,9617,1770,7599,8625,3889,7157,7693,209
+,8515,5517,1429,8141,2037,5138,4306,5647,495,3618
+,1187,7145,6328,9105,3804,7381,9826,4802,3356,587
+,6547,4621,819,1985,4233,204,3973,2785,6308,2557
+,3218,2183,6477,1643,2632,8392,2386,3825,6766,6869
+,8166,3890,8359,1843,4442,5535,3786,4452,1403,4190
+,7698,6014,3057,5061,6018,8835,6372,7829,7604,8509
+,8588,6818,3178,9610,1394,2723,6808,4539,5691,5
+,4192,2828,8658,5206,58,521,7421,8619,2228,347
+,1527,43,687,7513,7094,5605,7146,6115,9588,9567
+,9131,2895,4984,5693,5387,101,2233,4064,5008,9596
+,4348,3914,2677,2983,8637,8257,3378,2478,2823,8238
+,3496,7462,6120,6739,4000,6864,8026,5894,714,8411
+,9239,7985,5722,1802,8923,1243,3381,8204,6303,7833
+,2251,3913,8233,5992,3220,282,516,8043,488,7512
+,8408,9370,6319,5209,2756,4747,6702,8388,2210,4035
+,9641,6596,6610,3022,5480,341,2334,9663,2471,7003
+,8576,868,2076,7212,5597,6,241,427,483,4311
+,3314,9947,3938,3833,4671,486,2873,6141,8609,8448
+,5367,799,4138,5401,6664,4672,759,6853,3784,2732
+,125,6502,7933,6326,4108,1022,9721,2232,3581,7005
+,9495,1156,7262,7574,7057,4375,2512,7234,6900,3593
+,9175,1734,9181,639,2883,4558,6001,7927,1989,706
+,9487,1806,2866,6632,8007,4883,5905,2127,6890,6798
+,3072,9911,9068,5001,6794,6814,1590,6020,7126,2713
+,5043,4024,8698,7238,5019,959,3957,8490,6487,8215
-,979,0,0,0,0,0,0,0,0,0
+,2348,1189,1743,1753,2402,4123,6573,7042,7403,8499
+,2316,7865,884,8238,2699,7699,1031,5601,2415,7915
-,964,0,0,0,0,0,0,0,0,0
+,4799,1342,1547,5530,536,3265,2018,6360,1126,8608
+,5661,8059,1089,3827,4029,4649,3823,5068,4604,5344
+,7686,8602,9386,6253,986,8003,2853,1569,7249,7254
+,4424,385,8744,2154,1524,2235,9776,8372,1301,8593
+,7424,5366,9632,7707,7579,3532,4117,2997,5288,5187
+,1898,8236,8503,3660,2872,1665,9772,7508,6956,3986
+,1989,2264,8770,8416,3440,6121,9360,3679,1360,297
+,7881,3129,7131,8223,9568,6998,5246,1652,1802,1492
+,4243,6719,9495,3401,3816,590,7370,8284,6014,1015
+,5259,8577,332,9718,487,1650,9530,5571,8248,240
+,6014,9740,3647,2130,5910,3175,4515,6617,6940,15
+,2325,8858,1610,432,9463,2250,466,693,4118,7534
+,4647,264,2387,3104,7453,1243,3883,9071,6160,6608
+,7490,8288,5014,2510,7784,981,7545,9066,4089,4867
+,9781,8040,13,4802,8282,7939,6418,1567,945,7476
+,9011,783,2465,1444,3144,2335,375,1467,6887,2240
+,9061,6240,7104,7565,7853,78,1985,6717,4423,6369
+,1670,6531,2153,1869,3963,7400,8792,3340,9858,7935
+,7891,9345,6438,4976,5288,6392,5723,3754,4921,2415
+,4732,4699,2915,343,4496,1260,6731,6266,9522,9021
+,2670,9329,1455,5695,2697,366,6084,1418,7633,5857
+,5322,3984,1405,7010,9674,5633,2388,3216,1818,1272
+,6493,702,723,2162,5758,8959,2808,2043,6399,9873
+,6093,6257,2519,3039,5104,1566,1418,7583,7336,1719
+,5281,3000,400,5352,9303,4075,5764,8770,8602,7079
+,9877,5706,7224,6022,6636,7471,1578,5868,18,9357
+,8791,216,259,7426,5275,3545,8370,5448,8488,8889
+,3116,4227,1934,6679,8945,7976,8786,3894,2430,2590
+,1576,3535,7453,2082,8344,1919,1956,1151,1227,4743
+,7363,1684,4822,3475,3132,4956,577,7649,6962,3926
+,7835,6759,2042,8464,966,9167,4021,9310,3149,5021
+,3921,2622,9739,2687,9483,7582,2861,4379,9456,243
+,1226,652,7676,7968,2287,3379,9746,7382,4334,9002
+,5132,7392,4648,170,7370,9689,2311,5380,6999,8510
+,2643,9296,6623,8575,4240,1976,1899,9240,8617,2330
+,1384,2572,8580,7909,5669,349,9852,4475,570,4126
+,287,7560,6076,5435,3006,896,1970,679,6305,1326
+,828,7466,4695,9617,8680,7124,2378,7697,9188,2534
+,1567,1204,5684,9673,6609,7442,7380,4911,7817,9900
+,833,7604,7457,2295,3422,5932,4517,3063,810,7092
+,9727,9792,7531,788,3900,9130,2589,1843,678,8612
+,8041,5425,6573,5664,4831,2864,6603,2955,5714,6253
+,2400,9441,6838,187,8702,4132,9843,8314,5957,1024
+,9615,1774,3142,6264,6703,6450,7286,5133,3860,2504
+,4047,7563,4185,5313,1943,4449,67,3160,6572,5015
+,9187,1524,9389,7910,516,6711,3751,6284,4180,3325
+,6145,7993,2681,6008,2156,1587,5542,7227,1984,8933
+,593,2060,3437,3492,3570,5040,4236,8841,958,1424
+,312,6742,9678,4505,5619,9609,1159,2907,5687,5435
+,1459,864,6236,990,1426,4844,5565,140,2247,1429
+,6378,3439,9938,3876,7174,3141,1334,3412,7060,9297
+,2268,6980,2378,6137,2412,2528,6778,2563,519,4022
+,547,1877,5394,4488,2742,8655,389,7207,5208,4953
+,2841,3592,7761,1874,2778,6550,6147,2048,2852,4879
+,8589,3679,6474,9372,3086,9737,485,393,8259,8455
+,9148,3334,7638,4270,5643,617,9782,299,7090,6197
+,6462,2483,9701,1902,7525,9280,7203,5745,7702,582
+,5820,7496,6643,819,3531,2826,2421,1929,2139,5874
+,7635,1498,4314,9130,6511,8560,4391,852,5195,4860
+,2446,3983,743,1084,8799,2367,2666,1990,4815,9761
+,2947,8795,3522,7755,3421,8877,5242,2552,9589,7212
+,9387,3762,1708,5471,7142,3378,9783,7021,4330,3568
+,1406,87,8829,6307,2666,6462,8897,2122,2493,6391
+,2658,1999,7724,1796,8847,9801,4346,1612,5123,2095
+,479,9172,7892,813,5995,6623,6283,1324,5038,9958
+,6512,379,6383,3506,7674,5679,7605,5655,2398,8978
+,4277,21,9840,6302,2993,868,1195,3551,6009,7470
-,592,0,0,0,0,0,0,0,0,0
+,7198,8947,9464,1144,7451,4188,5438,7839,3960,2483
+,4349,3782,6684,7273,1552,2923,5887,9973,1649,3449
-,602,0,0,0,0,0,0,0,0,0
+,142,9914,952,2166,6256,2894,826,55,9155,1845
+,1172,2804,5069,1889,8777,5647,6396,7285,4470,9129
+,7796,8423,2909,4304,4075,8355,7853,4870,5002,4778
+,4815,8618,8273,1069,5398,1162,9362,7944,1211,7590
+,2757,9010,3641,6140,4609,9960,243,4059,4698,8951
+,1006,2342,3356,5703,2123,9007,196,4272,585,1717
+,9249,4619,5942,2296,2562,7502,3137,1924,7215,5587
+,3625,7293,6976,9143,7212,9947,2650,2025,7403,8678
+,7286,5738,2942,9455,9468,608,8271,3209,6057,9703
+,9492,7359,5833,3392,7475,8089,7285,5077,2849,4254
+,1209,5707,109,4653,4066,1996,4753,9304,7225,303
+,2042,7825,3671,2614,2640,7480,4757,316,7711,9192
+,572,1656,2263,2174,9488,9888,8806,8222,3966,8354
+,2062,8113,9198,4813,3772,9450,8224,7308,6279,2337
+,9742,7055,2271,4976,4556,8732,8272,3203,5167,4088
+,2404,3890,566,1864,8950,17,8330,5898,3431,3421
-,211,0,0,0,0,0,0,0,0,0
+,814,6456,8278,5307,6140,4414,8342,6680,1525,7152
-,573,0,0,0,0,0,0,0,0,0
+,4409,2972,6283,8780,1939,9448,5211,2321,6916,1980
+,4855,2654,2003,7898,2387,5964,3782,42,1153,5367
+,735,2076,4903,8277,5501,9923,1229,4868,2230,6229
-,190,0,0,0,0,0,0,0,0,0
-,654,0,0,0,0,0,0,0,0,0
+,5726,7474,3317,2028,1852,2317,395,122,2288,1858
+,9831,3697,2143,4798,6993,1947,2759,7455,2398,6350
+,4069,4064,1574,9600,3483,842,697,6730,1553,8539
+,3907,6433,5674,4829,3367,4466,5760,112,4357,1856
+,3863,9853,3079,1577,2067,6542,7094,6264,849,1712
-,935,0,0,0,0,0,0,0,0,0
+,3070,968,4559,4113,4786,8916,396,1742,3845,4990
-,399,0,0,0,0,0,0,0,0,0
+,8981,5363,9029,409,2537,647,2692,1253,4249,1114
+,6839,5061,3972,6549,9844,9570,567,4438,4084,6685
+,8274,582,1575,4219,5217,9045,3341,8720,8874,223
+,5453,4880,9453,5598,8863,711,1630,2501,766,6664
+,9703,1284,5555,2868,8781,4243,6414,7029,2680,9158
+,2326,1566,3217,1871,7878,6634,4870,6730,5233,4169
+,7479,3114,9486,3450,9300,7034,1227,8126,2821,4284
+,7617,192,1724,1234,6503,4308,5766,5878,7116,4559
-,658,0,0,0,0,0,0,0,0,0
+,4747,5302,3117,5365,6132,6135,1287,2081,1265,2738
+,736,2474,1279,7585,7299,8803,4507,1830,7412,7851
-,468,0,0,0,0,0,0,0,0,0
+,2993,1249,2056,105,4197,2494,5495,149,2187,9267
+,8079,6870,182,9109,6821,8910,7890,6868,7407,3705
+,222,4850,7382,7452,3028,8433,6573,4163,4549,3523
+,7305,4216,4854,8585,8190,2404,4563,8374,4204,8896
+,6359,355,582,8381,2069,9104,5945,6515,1254,5121
+,9924,2665,5924,8370,5378,3173,9612,5379,4686,6773
+,1304,5187,9230,494,9663,6837,9034,4853,7795,3532
+,6499,6481,6887,456,5275,6234,171,8017,7110,1398
+,4783,2901,8877,3259,9936,1109,2651,878,743,4152
+,2983,4942,723,6256,2825,8818,485,3328,7211,1599
+,6929,9779,4776,882,3633,9041,1788,6610,3288,6759
+,565,431,198,7492,5254,8547,6865,2360,3520,2547
+,4795,801,6804,3908,5810,5081,9619,6951,2748,6426
+,9496,6078,2394,4593,5232,8009,9547,6654,8232,3177
+,5752,2494,6297,8052,2317,2388,9481,1877,9925,3495
-,990,0,0,0,0,0,0,0,0,0
+,1390,7264,8241,2132,4174,1314,8329,4715,6933,736
+,296,8804,4276,5444,7535,4851,5658,5791,871,8302
+,5110,8977,2506,2875,1408,7852,3551,5508,7275,9678
+,6449,5531,2437,3874,4643,4604,4920,9955,815,6929
+,5990,1840,4059,678,1008,4513,5399,1486,6154,9519
+,3856,1710,7188,917,1912,9466,1913,9443,365,4126
+,882,8634,5694,7885,7027,5180,6233,9822,6705,6949
+,1536,4474,5573,2456,9415,432,8496,9271,2954,8869
+,8466,7006,7328,7464,9598,6598,2695,7618,2337,6670
+,1931,8103,8908,9049,3678,1224,4794,8553,8527,163
+,3172,2664,4512,2114,3381,2620,8353,5556,4941,3443
+,4302,7943,917,7407,3220,4794,6531,8270,585,482
-,369,0,0,0,0,0,0,0,0,0
+,6607,5311,2963,417,4400,6236,6882,2515,4658,665
+,6969,1212,2195,2166,6131,5395,2923,7528,4414,8305
+,1535,8763,8796,10,242,1252,894,1226,6805,3812
+,3232,8921,5800,1907,510,7007,953,6343,3976,5011
+,1350,6284,3987,9409,8460,2527,2063,3431,8353,4460
+,3531,5639,4822,7710,8506,7607,1989,6172,3830,8325
+,5970,3576,3703,6288,8438,8897,5555,3656,8327,5075
+,5742,5529,4379,3637,3795,2176,8336,5739,8142,3766
-,207,0,0,0,0,0,0,0,0,0
-,936,0,0,0,0,0,0,0,0,0
+,2196,5492,9585,2963,5617,576,7258,2362,8905,9405
+,94,8828,6200,3995,7186,5027,8159,4559,3417,6677
+,1315,3526,3860,7861,3508,5046,7286,9138,8787,1497
+,203,4369,259,5201,8427,2970,8491,146,9009,703
+,9539,1008,7883,9039,9289,6482,37,3986,2818,8770
+,629,8414,3363,7790,3827,7977,2622,3683,748,5962
-,742,0,0,0,0,0,0,0,0,0
+,4622,7093,3698,3698,1884,9524,1608,3794,1544,8118
-,568,0,0,0,0,0,0,0,0,0
-,946,0,0,0,0,0,0,0,0,0
-,794,0,0,0,0,0,0,0,0,0
+,4708,2198,1023,2826,2226,7092,2553,3161,6574,7528
+,6129,6520,265,8187,4532,8211,9162,5953,8453,2269
+,628,9375,9983,608,8831,3485,1688,7546,8130,7055
-,450,0,0,0,0,0,0,0,0,0
+,2752,2603,2178,9079,7779,9200,475,6450,4861,3363
+,2025,655,5446,8479,2767,592,630,3234,4542,7392
+,644,2634,2874,2410,1567,7633,8929,4367,8627,8075
+,2282,4146,2856,6161,787,6122,1958,3317,8787,7365
+,6224,7064,5809,5728,7446,6301,6599,1232,9372,158
+,7687,1756,5608,2886,9253,8813,5393,8316,5804,1453
+,3480,4525,3199,9266,2116,6885,3133,6820,1029,7024
+,3559,8778,2765,922,8415,9011,3583,4052,636,9936
+,9132,9088,6325,8715,114,3179,5051,3145,9232,767
+,334,3543,5191,1817,4220,8825,5914,1511,9258,7208
+,2916,65,1599,1985,2050,3354,8434,2226,5384,3427
+,2152,562,9428,5929,601,9823,4624,5199,4886,8888
+,7051,9355,5368,7044,4373,3818,3697,329,8070,1517
+,6038,7391,5303,2294,8825,3367,8935,5605,7519,2079
+,7351,8618,8115,8403,8325,1722,4125,2565,2676,5581
-,862,0,0,0,0,0,0,0,0,0
+,6460,2657,1488,1717,1672,762,7542,5320,9775,6087
+,1593,5257,7531,1202,5269,4617,4423,8503,822,5029
+,6853,8462,477,9349,832,8631,6861,3077,4269,8918
+,4531,5995,9487,9452,2343,1111,6269,9295,9229,7218
+,2812,3090,5681,4670,531,3314,6334,6674,88,9003
+,647,4196,1270,4553,6202,9394,3812,3797,9162,3040
+,3865,6232,7971,6512,6459,339,91,3290,6452,867
+,6209,6720,1745,4405,1945,4762,1081,5310,2117,8604
+,2854,5321,6028,7644,5887,9177,5338,1014,9457,495
+,2222,3868,4524,2927,5794,9599,5215,4403,4475,8386
+,5325,6956,6041,8893,6205,5197,7937,1623,6917,7382
+,2746,8667,1168,6698,1851,6350,5534,8212,7852,158
+,5051,3021,4526,9770,4925,1536,6793,4110,7697,8378
+,6580,8302,5422,9957,5905,2747,843,6766,6852,9618
+,2655,4222,4424,3306,1789,5499,1907,935,3557,9261
+,4616,6682,4021,1245,2716,6136,4100,1878,4044,730
-,454,0,0,0,0,0,0,0,0,0
+,6816,7647,1558,6130,706,8595,5058,8978,292,1221
+,1444,1464,3193,4281,3285,9864,130,4430,6441,6770
+,9633,1783,4032,3905,3183,2283,171,1622,8771,2434
+,5766,6461,8640,6727,3688,7061,911,5225,1289,979
+,569,1993,4093,2989,9654,8002,6508,4888,597,5272
+,3996,3696,250,3047,4553,8481,6424,7156,3310,5175
+,1947,1289,3300,7028,3908,2687,7908,3185,8999,3145
+,2445,9727,652,8224,7649,173,9509,6148,6845,6831
+,1151,5713,5024,6284,6006,4600,899,7569,8166,8726
+,1010,3447,1837,9528,5945,8771,6632,5749,9216,3389
+,4807,3907,5348,5409,535,5103,3755,6568,6284,6501
+,3875,7840,7460,823,3749,9113,6593,3994,462,9547
+,6656,131,2907,8203,5552,7365,1807,6207,7620,9974
+,7111,851,2608,9019,6224,4200,9696,4127,3758,5188
+,3124,2539,8177,9301,4709,4610,1830,1200,5905,2763
+,7985,6466,7305,3688,7173,5560,9549,353,165,7292
-,698,0,0,0,0,0,0,0,0,0
+,2390,1506,1710,5157,7423,3974,1377,1612,7424,1314
+,2768,6470,7487,679,926,6729,9999,9098,3373,2092
+,5106,6414,6165,6134,7000,524,6878,7463,6894,3701
+,8103,7530,6837,9305,4963,3972,7258,1077,8138,9619
+,8551,8838,2050,8387,1905,1697,2511,9138,8799,6271
+,9198,4047,4795,8129,9398,5028,8855,5307,9170,3651
+,3936,8846,4337,1267,4465,7845,8852,9401,4700,1520
+,4381,8787,8652,589,9035,5249,3062,5730,3844,6423
+,2597,1065,3128,3629,6152,6649,1395,9060,7723,1751
+,6212,3765,3777,1136,7865,1060,2682,6939,9181,228
+,4039,2923,189,7385,2003,2285,9183,7005,1483,8747
+,7348,3600,5206,1655,9303,2160,5599,9422,6269,1007
+,8782,3782,9236,9289,568,7439,4466,6170,2235,1335
+,5849,327,8754,9961,6661,8324,524,3734,444,346
+,5574,1608,5658,7293,5418,2303,4319,2093,9401,1399
+,5638,8312,4190,6404,5388,6230,8739,7507,3778,455
+,6658,1985,9885,1762,2027,7180,1365,324,2055,3673
+,6379,3234,7172,5647,5788,498,7929,6502,9372,2793
+,7205,7326,294,709,7960,9885,154,9222,2388,8831
-,447,0,0,0,0,0,0,0,0,0
+,4440,8281,8812,7998,4351,6381,5807,9102,5217,9642
+,1156,3543,5540,2333,3012,5644,9311,2548,9926,346
-,135,0,0,0,0,0,0,0,0,0
+,4765,7670,6263,9410,9780,9325,1960,2678,6380,3135
-,413,0,0,0,0,0,0,0,0,0
+,3781,3051,9807,6375,832,2056,2889,9772,2149,6946
+,6346,6892,8489,3260,9642,5143,8189,738,1186,9161
+,2130,5480,9067,474,3238,1090,8527,7667,4160,4787
-,345,0,0,0,0,0,0,0,0,0
-,728,0,0,0,0,0,0,0,0,0
+,9052,6635,4798,4341,4610,1336,6274,203,5682,9998
+,7749,7286,8356,2481,5162,9227,4924,2235,1965,9593
+,3558,9050,6303,8008,5499,4518,5162,8238,5820,3365
+,7947,8859,1914,9796,4758,2936,1197,5827,4850,5433
+,3353,6730,4945,5521,7891,1533,5996,9429,975,6314
+,9549,7744,4801,9461,4938,9307,2749,2394,2849,7565
+,2677,397,6810,5342,8241,4428,2234,2476,1818,8338
+,9263,9015,745,9343,8037,4119,6117,263,5077,1768
-,684,0,0,0,0,0,0,0,0,0
+,2754,6946,2409,7730,3917,8024,4133,1626,9861,7801
+,1686,1861,5909,3837,8007,8316,972,4613,9943,3392
+,8808,895,7768,471,5692,5836,4653,5178,2423,1357
+,9700,7216,6712,5838,8113,6409,936,1242,4298,8555
+,445,4633,6590,177,7570,3224,7142,9205,2123,9379
+,2669,8403,7181,9782,2910,819,7511,7477,8548,1595
-,135,0,0,0,0,0,0,0,0,0
+,6999,511,3935,6600,6521,4735,8053,2860,4985,8945
-,726,0,0,0,0,0,0,0,0,0
+,5760,5941,3186,2441,8645,3229,1616,4475,6949,5979
+,3461,3835,958,6197,7424,4142,4142,3963,7713,2104
-,102,0,0,0,0,0,0,0,0,0
+,4966,4267,6219,487,8497,339,9351,6190,7108,7528
+,4506,354,6029,6272,6212,5891,4924,2536,8371,7837
+,4938,4575,6763,5936,8313,5300,5991,8709,5135,8029
+,3581,1082,8546,8962,2998,4344,1999,8209,6953,5620
+,7088,8507,8734,6767,5078,3550,812,2727,8271,5023
+,3397,622,1804,5001,7720,2300,5215,8760,5581,4140
+,4191,2889,2907,4423,5721,2843,504,8584,3588,8850
+,7401,626,4304,2456,620,1185,6804,5978,2388,8918
+,5038,6931,5349,9688,6402,3503,4867,1209,2517,3682
+,6940,6609,2201,9118,1454,1690,6557,8421,1307,2230
+,9570,8633,232,6241,6407,119,7701,7004,601,5460
+,6665,3027,8483,6820,6255,6334,2404,8312,6332,6060
+,1575,4490,2099,8171,4145,7969,9407,7758,5963,5695
+,581,674,1953,7163,2122,7999,9705,1644,9215,9710
+,2442,2935,5529,4803,2139,8394,7492,899,3073,4204
+,1909,5197,752,2633,6866,356,3335,9386,586,7483
+,3427,1445,2884,3705,734,9678,5069,6860,3125,8459
+,8375,272,1082,1092,3604,7239,9351,3524,3936,9892
+,4599,1653,6912,6354,275,3824,3406,5411,9407,1438
+,4600,8788,3999,4322,8928,2457,2081,6537,6669,8064
+,8122,9078,2487,21,373,4130,182,4986,8811,7151
+,5011,7300,3572,8856,1504,9627,3197,2936,4512,8285
-,79,0,0,0,0,0,0,0,0,0
+,8617,6761,6783,1925,8551,5621,7237,3267,703,5156
+,6643,69,767,3970,7339,6178,4299,3931,915,7903
+,2067,829,8932,6327,9193,9687,2626,4962,6061,1347
+,4465,885,764,2789,6681,7543,8810,1994,1643,6053
+,3327,1454,5488,415,7468,5289,4176,2477,3530,1341
+,6206,9954,4859,796,7829,5859,4689,1322,7652,9831
+,2050,9256,5171,4481,8993,9676,3939,2112,9993,3922
+,4643,4526,7141,1616,9074,8407,2293,9321,3237,5140
+,9934,151,7235,7671,1826,8103,6469,4999,497,9815
+,2898,9186,6586,1050,8872,8979,310,3040,2833,2829
+,8384,6492,1501,1248,5126,8076,7640,3554,7978,52
+,2852,8160,6543,7660,4967,6320,8357,7529,7661,6997
+,5814,8386,626,1416,9479,372,9241,1979,9483,4610
+,5455,4879,3951,1222,4545,9349,1747,6705,4178,9165
+,1722,4404,3188,6781,5137,2823,8526,1255,2025,2222
+,6570,3404,4941,8159,3577,4459,6687,1268,6038,7673
+,8583,3779,5057,5355,5908,9397,1228,3844,609,3825
-,956,0,0,0,0,0,0,0,0,0
+,1144,154,3187,5187,8440,2313,4613,6803,6715,4273
+,1678,264,6858,6839,9741,9775,5134,3704,4811,3131
+,6582,8793,5693,9287,7689,6905,2457,6928,5330,5733
+,7467,4047,4294,463,7471,6595,3783,8171,7781,5114
-,414,0,0,0,0,0,0,0,0,0
+,1807,8038,3542,4649,4007,7065,4388,9464,523,9274
+,5548,8928,4232,1451,4121,4356,1286,1460,1901,6844
+,297,7428,8005,7455,4947,3188,4566,1101,7531,6840
+,1599,9153,7924,9764,4042,9029,526,8566,5546,6432
+,2169,7952,7069,3647,8790,7256,7154,2823,3612,6259
+,5696,9585,5473,9679,2472,8547,1160,6120,6262,7138
+,6786,4469,4383,8357,4901,4016,9577,1029,6196,9498
+,9318,1565,623,5441,1110,6745,7102,7622,5954,8108
+,4380,2642,6577,6615,4876,3688,4055,3519,8399,3632
+,5257,7676,3381,5879,1411,8352,4550,3930,2629,7409
+,134,2704,4796,8932,5824,2522,9701,4255,422,8080
+,5601,4963,5576,6724,5048,879,8827,1701,3558,8664
+,5062,5290,6630,9701,9342,7072,3791,380,5482,7635
+,447,1590,3569,7822,237,3001,3824,9827,8777,3270
+,7379,8248,8787,6689,1612,6215,5995,802,2461,4008
+,6186,6327,3912,7495,3313,7884,4829,994,4212,874
+,5089,4779,6811,5116,987,3022,2157,9448,9670,5945
+,3114,4727,3485,7815,2196,6098,1093,7970,6663,799
+,9235,485,5539,782,7728,5782,4639,7394,3536,7141
+,7592,9078,7815,522,9098,2132,205,53,2685,5895
-,685,0,0,0,0,0,0,0,0,0
+,9959,9651,4708,1099,245,5762,7359,2817,552,6773
+,6682,2780,8035,8864,4249,9635,9296,334,8701,2639
-,398,0,0,0,0,0,0,0,0,0
+,5229,4733,6312,4204,1486,1067,8307,2688,2608,7177
+,9390,1938,1817,5453,9330,8198,438,9095,4119,9849
-,785,0,0,0,0,0,0,0,0,0
+,5083,5714,5529,4109,780,3810,2505,4009,1343,62
+,870,5885,102,6321,7497,9479,6241,6599,161,8381
+,9950,3766,2842,9153,8621,9985,4656,5796,3929,687
+,7179,5746,1055,6095,1733,4879,2840,8924,209,2550
+,3136,7550,5067,460,6630,7888,7138,1194,3924,9827
+,1137,7760,5865,1717,7733,688,1860,6316,8287,1916
+,9822,5551,7831,8180,9940,5037,6569,6952,1835,5460
+,303,1337,3867,6128,7113,5579,6590,5786,1304,5560
+,5289,2497,247,1918,7241,9549,1059,1081,7437,1190
+,9655,3048,494,4294,9472,1308,119,6904,8253,8614
+,7896,2068,1550,1040,2514,2372,889,283,9361,5268
+,8323,4372,8185,6767,8272,66,8746,4584,6643,9794
+,6029,1174,3234,1386,9626,1699,4741,5295,316,5459
+,9827,1672,415,5844,832,14,5568,7853,3262,3704
+,1998,7373,5283,2235,6095,6552,9025,7427,9478,8652
+,7873,6630,4546,8977,1104,1157,4913,5432,5121,9359
+,5091,3114,1750,4166,788,4240,2428,663,2112,1344
+,483,2180,6227,4902,8033,6095,5438,2860,3027,9710
+,2668,8998,6020,4209,9322,1184,8311,6976,5431,7297
+,7251,2535,6273,3472,4529,6896,6532,9655,8631,3571
+,7879,1093,6730,2727,692,5217,8715,1918,4482,1883
+,7763,1142,8591,9200,4227,3809,6416,2178,1345,1127
+,7512,4480,5737,809,5952,3013,9318,25,9521,4485
+,3788,1844,9484,8293,5471,4841,559,1050,5753,3266
