OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
+,475,8975,3635,1975,3291,7707,259,9607,8198,1016
+,7976,7357,8781,2101,8668,1764,8418,2256,9223,6346
+,1982,1582,5121,1731,8355,5853,21,716,746,7683
+,8226,3128,7327,257,994,8646,9659,4233,7051,6688
+,7982,7471,419,5827,6275,9949,6688,7825,4335,5810
+,5321,4740,4379,4265,4450,7207,3656,5685,9392,3309
+,3345,9561,411,4386,4241,647,4529,8293,706,3178
+,2608,693,2876,8242,6113,8472,5034,4236,2360,1313
+,2491,6589,6941,2231,2533,1537,5104,5196,5565,8635
-,959,0,0,0,0,0,0,0,0,0
+,7023,8180,6560,5392,9814,4550,4657,1058,9001,5463
+,3549,4459,1596,5996,8340,5833,6893,3150,2760,9119
+,3999,9022,7387,5760,4960,3062,4765,7754,7289,4680
+,3016,8697,5705,2870,4094,3608,2261,6038,9760,6518
+,4355,5285,9317,5763,1513,2021,9617,9407,6116,856
+,9189,4356,2666,8470,4082,7700,619,7308,9371,9759
+,2061,6994,9278,9611,9282,6595,9625,2421,9239,489
+,1553,3757,4678,1005,3793,4524,4927,4276,1004,160
+,5644,7604,2401,2479,4499,846,7901,7420,9759,7837
+,3080,6075,7797,2872,496,9481,7419,8942,8336,7185
-,16,0,0,0,0,0,0,0,0,0
+,5003,9047,9834,2266,5988,5985,6594,1291,3768,5302
+,2398,9384,415,5264,9971,1321,8002,9121,3543,1476
+,7866,7134,8630,8888,5878,8513,5021,8336,1140,535
+,2342,5738,8470,9170,9498,6088,5428,2711,2273,1253
+,8482,8536,2707,6212,1768,3788,9852,7718,8480,6103
+,6889,8288,42,9110,1526,3611,6564,3817,5364,3258
+,5866,6145,5569,2793,9634,5531,56,3902,2088,7579
+,9029,394,1729,5776,3439,7487,1471,908,4552,1288
+,2226,5083,6215,9786,9802,6859,7205,9501,1410,8039
+,1962,6444,6409,3266,5506,968,7203,9143,6983,8970
+,4052,7791,314,6086,9554,5418,2539,150,2062,3747
+,7443,3397,7681,238,2100,9354,948,3790,9028,9162
+,7792,3761,4435,8120,7926,6805,5946,8824,4804,981
+,1089,1312,1593,8725,7632,1451,1635,7325,9301,1207
+,1220,3749,2390,450,2275,632,1089,366,7308,7493
+,2561,4000,5273,7621,7403,114,7390,6990,2723,1403
+,4022,5579,1758,4393,1641,8739,8527,8521,468,5959
+,1896,630,4166,9695,8749,31,5396,2563,6426,3844
+,3649,9502,6943,606,7255,2013,4041,2294,4149,1634
+,8929,9262,1420,2928,3857,8367,3038,6162,2022,613
+,7108,6339,9668,5536,3229,5521,2125,9560,4642,2966
+,8483,8412,5592,5297,1142,4256,3586,4581,8050,9906
+,5110,4690,4686,248,8264,8044,3810,2519,2843,4522
+,52,496,2783,389,6650,3475,7428,2409,1268,6839
+,9407,4904,4013,4154,4262,512,7733,2321,790,5002
+,7673,5140,417,3282,5792,8303,287,4902,4454,4189
+,8218,4447,2464,5989,1648,614,4588,775,6910,4056
+,4807,5430,8572,8419,7051,9661,824,3038,4258,2211
+,8448,1235,8841,5565,6563,6112,5904,3800,123,4955
+,121,5089,6164,3463,7074,8535,7996,1880,4001,3172
+,8831,8745,388,919,7081,6557,7867,3542,7733,5872
+,7238,6503,9394,3417,5604,6145,1857,3210,9287,4948
+,7326,5379,4665,8396,6794,6175,9492,6553,4964,617
+,2196,6279,6372,7216,5479,2338,5506,6537,3929,9130
+,3975,9189,1686,2590,9432,3277,2008,2118,6802,4798
+,3367,2906,850,4912,2543,4727,8296,7817,4682,7866
+,1876,8185,2973,9631,7220,5438,4250,8855,4933,2945
+,744,5439,7086,2199,4001,621,9174,2712,3018,5158
+,367,5869,4250,5794,9981,5420,9441,8762,4769,2290
-,984,0,0,0,0,0,0,0,0,0
+,9854,7126,2611,9288,4941,6104,3561,5620,1048,8619
+,509,4546,2272,8063,5860,961,7064,524,6534,1823
+,7674,9958,7521,4017,9562,9357,2196,5145,3265,8782
+,3204,4763,1016,6780,2603,3122,7858,5009,8900,8206
+,6683,3635,4088,3386,2267,4277,8241,4933,8019,3321
+,4933,3599,6793,274,6411,4529,9262,6936,7595,1357
+,4699,8389,3689,2358,7617,1442,5491,3968,2984,4790
+,1915,3469,4907,3342,375,3169,3038,117,552,1084
+,7418,8813,9811,8635,2257,26,7419,3634,9244,4095
+,4049,785,5987,811,5017,7729,2458,275,6403,4530
+,4677,2891,8162,5807,7943,4151,4213,2053,4350,7433
+,2409,4739,9447,3011,8114,1676,7693,7389,5612,6701
+,22,763,2312,4077,2326,1571,4966,2269,6315,8357
-,258,0,0,0,0,0,0,0,0,0
+,2943,4537,5976,6113,6309,4699,3993,5051,9860,7982
+,5004,5206,3874,9774,1999,6900,8672,5064,4475,332
+,3121,4324,1036,8795,949,5168,3416,8986,8375,5127
+,3446,6982,2634,3983,5528,5748,643,7754,4816,5042
+,8079,1932,2429,2237,3861,1894,4735,686,5649,6536
+,2785,9302,7455,1567,5925,5348,9697,7855,4566,7816
+,1970,2670,5398,6916,9794,1671,4022,6639,4273,1604
+,8655,572,3601,4989,3621,7453,6991,258,5223,8353
+,7851,9841,5632,9771,4484,9294,1822,499,3191,5331
+,6680,9633,2566,8658,3444,6384,7801,4968,5745,4559
+,7510,5473,6156,4026,5381,5699,9080,4351,1902,593
+,9457,3108,9118,4877,6379,8228,5582,7098,7153,5560
+,3835,5001,9634,9595,3517,7540,5402,4489,2068,3676
+,155,8116,6312,4174,6008,9286,3363,4721,2791,6531
+,4737,5749,6083,3027,1464,5753,3953,3258,2309,8031
+,4652,2797,2421,721,8253,7206,5863,4587,8719,9799
+,9429,45,4790,2392,8700,5704,2960,2870,4793,3121
+,7896,688,5513,9928,1102,9589,813,7829,8120,9970
+,8232,7410,6272,910,4380,2977,9992,8360,2433,4038
+,8882,6225,4794,1613,5935,4028,9400,6413,9227,9186
+,9727,7012,6914,5753,4298,9725,2681,837,1192,9520
+,5885,4572,4080,7702,7434,9942,2418,4270,7728,3876
+,3193,6251,207,4394,9704,2223,2397,2826,9645,3825
+,6134,846,3290,9101,679,9123,5034,4205,2058,8391
+,6288,7955,1580,2679,2540,427,9762,6406,2590,5192
+,3154,1414,8101,8133,4550,119,4830,734,6902,9721
+,6426,1324,4108,3471,5815,1148,664,292,662,6639
+,9171,153,6602,2417,5667,2824,8145,3879,509,263
+,6846,8314,2972,9014,5643,7889,5437,9824,3462,5857
+,6197,2520,4042,9293,9501,7894,8062,5204,8043,200
+,4170,1895,8132,3000,5542,1438,7918,2699,8177,2706
-,238,0,0,0,0,0,0,0,0,0
+,4770,6157,5143,3446,2000,1023,1045,9290,1775,3204
+,2751,6075,2912,5917,303,5459,3151,4460,1933,266
+,7712,1407,1214,8030,66,7855,7829,4932,522,6832
+,5002,1735,7101,7038,4520,942,9340,378,6673,8535
+,4516,2269,1281,9168,2567,9592,4967,87,6351,7532
+,9638,7396,3581,4005,9059,299,4849,6877,5077,7828
-,890,0,0,0,0,0,0,0,0,0
+,650,6731,1498,6807,657,2925,5383,8030,5944,3707
+,2478,3266,2309,260,6963,1577,1588,506,2452,2568
+,88,6807,6944,9105,8532,9260,98,9144,1606,1244
-,567,0,0,0,0,0,0,0,0,0
+,1576,9818,3900,5511,3798,1200,2054,7279,7626,7151
+,604,439,6418,6484,9476,5212,7287,4499,7682,8136
+,5740,1319,8474,3956,2849,5756,7204,4814,6140,6941
+,4844,7957,7315,6201,6162,9602,1411,4428,7515,6988
+,6855,4752,2211,1216,4698,4868,6092,9610,9540,8361
+,2589,6225,664,7478,4991,1318,8684,740,4096,7910
+,6320,9376,1826,7289,8783,5128,3720,8987,8997,7126
+,6766,8826,4524,8428,8982,1223,1285,914,2790,7002
+,412,1615,54,558,6080,7259,415,7895,730,7174
+,751,8816,1875,2063,4112,9787,6986,4879,1336,4870
+,1295,424,1005,9234,9708,819,1499,7209,6218,6122
+,7819,7837,8353,7363,1549,885,745,2589,8251,8920
+,7573,2238,7752,89,6649,5193,5600,4861,3466,7863
+,7681,2740,8021,9783,7433,5227,9297,851,5193,7613
+,7050,5255,5072,5201,6497,8314,1728,5288,4438,6485
+,2889,2148,7110,1286,9735,9114,3261,6300,1834,6883
+,5306,2236,3629,6234,4656,2557,4647,3295,3074,8616
+,3090,3169,302,6913,603,8623,580,1903,7827,9576
+,7886,2355,525,8900,1350,7374,6586,1236,7386,4621
+,7143,213,1569,9728,6549,4577,6012,9547,4683,6782
+,911,5245,3410,933,3260,7991,6195,1353,8921,893
-,927,0,0,0,0,0,0,0,0,0
+,2340,3066,1895,2147,5808,6369,7757,6973,1072,119
+,1162,3436,402,8776,5890,4013,7863,3461,3639,6303
+,4946,4612,7131,7612,8145,8609,7394,8308,7960,7136
+,4241,2398,4967,1711,93,8986,834,6509,9746,7734
+,9424,899,5119,7689,3859,9209,7227,9303,8586,6740
+,4417,9437,3334,1682,8819,8896,6340,6430,5886,5940
+,4734,5084,5397,7962,5377,6557,2946,3793,7105,4462
+,4585,9129,1961,8750,7874,4916,2134,700,1103,3882
+,4565,3766,5690,6862,7096,1353,7937,8779,3814,2877
+,9107,2874,5187,7778,4399,4338,1800,9229,7010,3265
+,4137,6873,1709,1340,6658,5077,9913,1433,5118,4583
+,948,6038,1010,5715,4412,3681,4958,7000,9723,2077
-,662,0,0,0,0,0,0,0,0,0
+,2370,8605,5876,8612,4640,6312,568,10000,4051,6823
+,1488,3243,6197,5285,8915,9354,4754,6760,2146,4575
+,465,2720,9058,3970,2785,827,4641,571,5112,5606
+,169,7487,4552,6551,2052,4857,3667,6043,9611,4164
+,1903,7375,2038,4452,6006,8019,1597,22,8941,5536
-,396,0,0,0,0,0,0,0,0,0
+,9567,6506,3217,8818,9023,7128,3428,9803,7719,7274
+,7158,3119,4891,639,9962,9324,9646,4976,7247,9957
+,60,3229,8260,9214,9690,9834,8617,6551,9014,5769
+,3909,1842,3223,4545,8389,9331,2485,7784,7343,2685
+,4470,9659,9157,4658,4853,5798,3659,6331,5439,88
+,6821,494,7847,6579,4247,8444,278,9294,406,57
+,9684,182,6944,5492,1830,9378,8096,9473,8263,9914
+,3753,6950,2958,9117,1621,8041,2227,1305,6645,4488
+,6537,7977,9872,9267,2812,5821,4452,3645,1842,7592
+,8481,6823,9860,1566,2329,3248,4601,9594,2423,6685
+,3116,568,81,4514,8215,1145,1300,7338,7213,98
+,7071,4062,6254,3038,8823,2952,2038,2900,9775,3604
+,7440,8158,152,1816,8477,4760,3716,8280,7446,4069
+,6775,5183,3737,3101,4528,1807,4457,524,2778,8041
+,6809,3915,1513,3731,6969,2658,7106,6608,6970,3165
+,9052,5013,563,1478,2122,9864,9673,6128,8947,7565
+,4284,7271,2674,3994,6930,6386,4627,5101,3293,6979
+,4814,3278,4366,6119,8407,6091,5555,9847,3746,4384
+,472,3824,5762,9277,244,2695,4578,8293,5676,7250
+,9538,1916,7988,2283,501,3167,9154,8605,3029,8500
-,42,0,0,0,0,0,0,0,0,0
+,481,4308,3161,9635,5128,5597,7845,2724,6189,2605
+,3162,3415,9577,7459,60,5229,8345,7355,6610,1822
+,9233,1950,3898,4151,3341,8877,5393,7737,1723,2825
+,3276,5847,4070,9814,4841,8029,5589,681,6032,5807
+,7597,6317,4386,4664,8532,5187,1518,8128,8887,2416
+,4685,1301,4700,8772,6463,8709,605,8223,1561,8313
+,1307,925,8134,644,9268,6729,4192,1162,2272,8900
+,6507,1515,6380,8735,5272,473,3926,1255,8768,1018
+,5252,8820,3855,4886,357,2371,2606,1342,8384,4779
+,8532,1294,4139,4064,4758,3277,9946,4561,1229,8327
+,6424,6044,4388,7992,1543,3016,3151,3669,732,6727
+,9860,8484,6983,9739,9783,8855,3900,8361,2437,9091
-,3,0,0,0,0,0,0,0,0,0
+,4833,7610,802,2964,2599,3579,962,4056,4548,3602
-,133,0,0,0,0,0,0,0,0,0
+,4777,1663,9034,3093,2891,6350,8803,3086,1832,2325
+,295,9095,2624,6484,5501,1515,7621,9883,4335,6219
+,6982,4889,6037,5540,570,7029,9330,9233,7771,8500
+,7142,2595,2506,4681,8235,3287,2726,6492,9716,6904
+,1354,7878,1006,3993,5967,9593,3984,8086,3525,7452
+,9578,7630,8732,1603,9788,1818,284,812,5766,666
+,324,8938,9283,3719,2589,9122,7950,5443,6867,2799
+,5750,7450,2159,6045,9880,9063,2119,318,5544,9243
-,542,0,0,0,0,0,0,0,0,0
+,8524,297,6305,7868,2215,8672,6475,4877,9138,4731
+,7472,9087,5437,3886,4729,4629,2698,7806,2434,3933
+,9411,5415,1946,3483,958,1179,2502,3378,7164,8759
+,7423,3936,9372,2590,2160,3359,312,6909,297,7641
+,4204,8928,9743,6655,1944,6084,8307,7660,6880,9997
+,5418,1867,6018,4445,6432,9985,111,1714,6932,776
+,7439,7793,3445,1682,1236,7624,9508,7007,7260,3175
+,6806,4329,3742,4163,8882,5805,2728,6628,9391,9905
+,4948,2828,8342,7555,1018,2258,8483,97,4335,9232
+,6606,5721,4833,5436,3169,8970,4815,4207,6389,4376
+,2082,5804,5234,1196,8750,5268,9037,4575,8001,2652
+,7862,3796,1674,4537,3487,8851,8623,3299,540,1262
-,863,0,0,0,0,0,0,0,0,0
+,4609,7054,5494,5443,9383,8684,4966,8423,2871,4964
+,6301,4680,9787,6943,8013,7663,9203,1664,7544,7356
+,7213,9240,4208,1860,1498,1954,4791,9982,5773,5750
+,8770,4784,7769,9983,5481,9502,1841,2205,7640,6155
+,3671,2819,5843,3025,1802,6640,5517,5271,1157,5380
+,3372,7141,6337,1783,2763,7260,5409,8507,1972,1028
+,4329,6188,9435,4600,778,4000,1854,9450,5576,8561
+,2105,815,9004,1662,2725,3729,4320,5210,7890,8038
+,2622,6317,685,9546,4690,2596,120,4499,3441,9698
+,8369,8680,3006,1688,951,285,8144,4878,3503,4064
+,6385,9851,60,5495,3395,1677,552,2942,1433,5120
+,4445,58,1710,1183,7827,2193,4573,4113,499,9672
+,1866,2102,8650,9559,2188,9911,4419,1578,4511,8868
+,3799,6403,1773,9390,5296,6491,9580,1103,6020,7013
+,855,6485,9522,1820,7608,2766,7019,559,2223,8596
+,1130,4560,4095,5210,7494,5090,1884,40,8796,7703
+,7169,499,1423,8612,9407,7745,3634,2839,9389,4811
+,4162,5571,7694,3256,1736,7133,2581,5831,5969,3644
-,159,0,0,0,0,0,0,0,0,0
+,4611,5480,1625,7673,4220,7374,7162,4992,8777,1113
+,4801,9043,8090,1912,3719,9115,9348,765,4374,5520
+,5049,6306,2015,309,9998,5676,7102,5178,1285,4917
+,4858,9191,1073,4193,6256,4648,381,9794,3803,2130
+,7831,4909,5447,7637,4856,5851,2568,7570,1155,5019
+,6101,1342,2507,3848,5159,5600,7212,7489,9980,6809
+,7072,1143,6205,2904,190,9316,7605,2791,8878,5679
+,4475,8188,2052,6922,1701,4007,955,6285,1466,3694
+,6613,6916,2324,839,8882,9839,5702,2760,8093,9768
+,6334,6424,6723,3,9621,3265,2836,7939,6828,1778
-,709,0,0,0,0,0,0,0,0,0
+,5397,5552,336,3971,5771,6015,5805,1867,8827,4129
+,5534,9577,608,9589,5267,1015,3030,3577,5980,4769
+,7602,530,4422,5226,9797,7582,4723,3341,1095,2999
+,9960,1256,7855,7968,3420,8803,823,7308,2937,6992
+,2711,9821,1708,2502,3931,2474,4400,8079,9175,2378
+,3730,8947,2204,1594,4485,1048,2506,6533,6872,7872
+,2160,1448,3269,5584,5093,3730,4674,3381,3709,9066
+,9102,7703,5546,7172,4151,4925,8670,1199,3851,3155
+,4005,2341,4680,9573,9774,6510,8842,4353,7746,1886
+,467,4407,7062,9579,1294,5711,6143,4618,9399,2462
+,2927,8912,396,8922,2634,9080,6635,5569,6377,7765
+,4541,1438,6831,1257,5816,6294,7628,2406,4137,2522
+,5048,1124,244,281,7749,7082,2251,1114,7735,1340
+,5933,1307,4523,7582,5028,2077,1274,7464,4904,8943
+,7223,2795,6339,9822,9977,7615,8811,4902,103,5099
+,964,1113,6759,3715,3733,3921,1606,8121,155,2733
+,8661,3823,9070,5011,3859,2322,1992,7837,6851,7797
-,926,0,0,0,0,0,0,0,0,0
+,5768,6864,2778,2357,818,9779,5184,7839,1958,4013
+,7162,897,7605,9765,430,6395,968,660,7727,1859
+,9840,337,3403,3781,1082,3589,7192,6137,3627,3998
+,8265,6221,5547,6192,6577,5846,3632,1054,1316,2808
+,5538,5103,5848,2199,2721,9481,993,7544,740,3721
+,9281,9508,6863,6943,8748,7374,5395,299,976,6717
+,9864,6621,190,3897,2709,9808,6574,8527,755,8895
+,3221,9311,4026,7806,659,6746,3579,4575,4816,7122
-,630,0,0,0,0,0,0,0,0,0
+,2950,6512,1078,9113,9538,6015,4706,1987,8944,6567
+,6619,2165,4030,3364,3514,5128,6784,2631,1007,8842
+,4869,483,5507,3053,3477,8542,2981,8288,898,1929
+,328,7995,3558,7612,5231,9677,4110,770,6561,5614
+,5494,6088,3892,5340,2215,7785,6494,6300,9549,9699
+,7488,8753,7885,9810,6451,9682,7828,8009,3919,7626
+,8804,13,9687,5844,1200,240,2042,6486,3827,783
+,6651,2763,8996,8846,8882,2920,8627,5253,1185,5008
+,5895,4522,5161,4965,8342,661,8890,6586,8343,3947
+,5272,242,1972,5447,5174,1329,4874,5945,5833,585
+,6916,1553,830,2905,9945,7851,2346,5094,5807,6137
+,7203,2300,5741,2609,7142,1538,8065,3215,9727,6839
+,6894,5363,2533,8748,9898,9803,7653,184,1273,7330
+,2279,5664,1450,7996,5570,4291,3321,6426,8282,4040
+,1193,1466,1881,5930,4565,2309,4470,7688,8238,8164
+,701,9918,942,398,5507,882,3803,205,4640,9248
+,9978,9619,6655,1659,7311,1805,7508,183,6510,5160
+,6220,1530,2756,605,7167,1874,2484,3225,6528,338
+,801,5161,1875,2639,8150,6054,6281,7412,6682,9494
+,2586,1192,7307,4320,8206,5642,8879,939,6662,3604
+,9251,8587,3345,2194,9843,6929,2719,1140,5174,384
+,9374,2919,2067,9107,8868,7676,6193,5096,1776,564
+,7717,8739,5161,2294,2252,3912,2644,9819,5092,8971
-,372,0,0,0,0,0,0,0,0,0
+,3317,6215,7005,8528,3006,4186,1800,7092,6469,821
+,5562,6302,6835,4068,7530,119,1601,7312,5691,9028
+,987,310,8686,8471,8384,2994,6063,2474,1426,1383
-,257,0,0,0,0,0,0,0,0,0
+,1027,5422,153,2412,6739,915,5858,7858,9666,5000
+,4248,7809,5851,1984,2338,4804,8512,1562,5080,4958
+,9224,6515,3820,327,6693,4501,6030,8332,6405,9400
-,274,0,0,0,0,0,0,0,0,0
+,9066,9725,4290,8746,1091,3954,1792,4561,4214,5293
-,231,0,0,0,0,0,0,0,0,0
+,390,4530,320,15,1077,5584,125,171,8969,2055
+,1880,4958,3370,8492,1668,7141,9345,4164,3755,4521
+,7129,7673,7515,3373,4708,9631,208,829,7032,2557
+,9845,4666,4615,7160,2422,6642,4202,5029,3311,9986
+,4223,9059,6163,1478,2155,4350,6045,8877,6662,7918
-,464,0,0,0,0,0,0,0,0,0
+,2317,4936,9252,9309,9034,5686,8666,8429,2820,4422
+,3089,2375,1257,2423,83,9644,5144,3204,4986,5816
+,1999,3891,9745,7826,6706,6345,325,6830,1355,5373
+,5939,542,3303,5268,4180,5843,2730,5121,513,7858
+,6601,5472,9160,6711,1426,4937,499,7392,2625,9249
+,1564,8976,8561,4472,2299,6636,968,6755,2010,8979
-,448,0,0,0,0,0,0,0,0,0
-,1000,0,0,0,0,0,0,0,0,0
+,2524,8405,8692,2322,7455,6073,471,7123,1601,8482
+,7387,2492,455,7469,4358,3472,8041,690,9566,7924
+,3015,3013,8177,5190,4256,7627,1773,6209,5715,3937
+,337,6523,331,5527,2642,3746,3361,8876,2068,4207
+,5387,6906,2917,3268,5150,7968,1563,4709,3260,8282
+,2734,7669,8838,7592,3116,7419,1579,3879,9054,4504
+,2757,6907,6081,7779,3046,8703,1867,163,6417,1638
-,227,0,0,0,0,0,0,0,0,0
+,1561,1573,1989,5909,3740,6490,8836,6826,7061,2113
+,3168,4350,8435,890,9966,5022,4208,2200,8146,7811
+,3617,5354,704,6220,8076,1670,6037,477,4111,4826
+,3619,641,6508,4637,5161,6417,5567,2616,862,8362
+,7551,5710,9985,8065,761,9019,9782,8654,4814,9916
-,167,0,0,0,0,0,0,0,0,0
+,1230,3452,8216,1234,480,8322,3088,5248,4628,1716
+,5294,6037,6916,5912,199,7406,346,6722,3110,6995
+,9674,5642,8634,5952,6949,7291,1038,3212,9625,603
-,190,0,0,0,0,0,0,0,0,0
+,9518,8470,728,960,3689,1191,6822,3567,8889,7284
+,1540,7708,7153,9143,5504,6164,1296,8147,9076,8563
+,1790,6669,4423,9226,6551,1760,3516,2856,2018,1756
+,7508,185,7749,6220,8450,8507,7738,1411,11,1406
+,7148,3539,7304,2595,7020,9162,3406,4259,8622,6568
+,7808,2149,8987,9170,8446,7540,8520,7774,969,5560
+,1404,8110,8303,6873,5284,4513,3972,7681,8182,2785
-,419,0,0,0,0,0,0,0,0,0
+,1570,6925,3609,2629,5046,4318,5896,917,1777,7451
+,4189,5155,4308,2904,2467,6920,4460,2172,137,7319
+,7078,3873,6391,9227,6107,8991,1121,3125,5538,7952
+,7552,9842,5759,8903,7666,7652,5491,9404,2267,5407
+,9466,9977,1185,4140,3960,8011,7494,5834,4528,6216
+,9273,5987,3930,9610,4248,8740,6170,7115,3673,9773
+,1985,9383,3895,3800,6285,1617,5319,9949,9726,5289
+,4615,6805,8170,2787,2340,2370,817,4040,3572,8315
+,7793,3320,4554,547,5317,4819,9768,9238,6708,3780
+,2151,7376,4964,8205,5232,6365,9115,7014,5633,1192
-,385,0,0,0,0,0,0,0,0,0
+,823,3189,2260,7463,3577,870,257,4047,9539,2301
+,9074,5156,3252,2042,2764,6204,6303,2096,8859,9738
+,9939,7443,2504,6832,6017,7887,6943,4210,987,83
+,6840,3959,5333,5474,7921,3036,7042,5797,8033,6311
+,445,8200,351,1180,402,1091,7652,6427,3802,5267
+,3547,6603,21,9097,3316,6170,3157,775,4418,2418
+,6361,5973,2254,3865,5165,9043,4899,8882,9361,6982
+,7807,1889,9403,6596,3423,1169,4905,1780,1121,7264
+,2031,1344,2457,4781,5009,5694,2792,6107,3968,285
+,137,2999,8950,403,3740,27,1847,1547,3792,7483
+,4963,681,2924,8162,7275,1161,8316,6930,7085,2061
+,4846,6568,3016,6648,3514,3506,8955,9405,6650,5224
+,812,8561,9075,8350,7041,5033,9665,859,5852,2094
+,4729,7955,724,8545,838,3180,8533,9249,4584,8004
+,9973,1253,5491,6339,8779,4439,880,2641,3044,8088
+,9832,8222,5425,7318,5974,1111,1532,9984,4400,8364
+,8555,4953,607,5811,7162,7073,4084,1213,947,1992
+,7944,6211,6565,3653,9218,6442,8725,9580,8583,3665
+,8707,4088,7006,7591,9914,584,3068,3230,3784,7475
+,1544,386,6864,8277,3034,1339,1381,7079,4483,1789
+,3951,6577,7691,6708,1624,4282,7397,9966,400,4655
+,8012,3602,3456,9654,6314,6940,522,679,6036,7343
-,160,0,0,0,0,0,0,0,0,0
+,3628,6430,2416,4429,6159,700,8082,5712,6566,1618
+,6665,4818,6307,1370,4339,1607,2001,7341,9973,8347
+,4028,5057,9746,3631,3202,6136,9841,6984,7644,428
+,9517,2851,3304,380,4452,5245,239,9925,6203,7023
+,9589,9725,8618,7878,8353,6362,1594,3583,5716,4157
+,458,5991,9775,9061,5072,70,9000,6196,3249,70
+,8643,7227,9636,1083,6154,4956,7044,6916,6417,4541
+,6684,7460,7813,4637,4860,5090,6145,7817,621,8064
+,715,2177,8649,2845,9097,5108,6484,5771,7066,4585
+,2030,2913,6996,7235,367,1833,7580,2407,8990,5791
-,329,0,0,0,0,0,0,0,0,0
+,8980,9738,6169,1300,5459,8950,9023,1074,1606,4315
+,4238,1574,5706,4800,4792,7196,7216,2067,2269,3286
+,9326,1103,1562,2867,7098,5366,5048,280,4823,8036
-,792,0,0,0,0,0,0,0,0,0
+,589,9705,4301,5596,1282,1363,7986,380,820,8804
+,4535,3420,4451,1123,2642,7162,680,3514,2322,8852
+,7971,1862,2468,6581,6548,8213,3823,8253,7971,5666
+,188,924,8961,2205,390,7200,4917,6790,1905,8291
+,8754,1860,8248,5428,3355,8821,8101,2486,8217,3304
+,4256,7441,1476,8768,1173,6498,5898,5789,4898,7794
+,4902,917,591,9044,4475,4060,5262,3597,7037,2272
+,1840,7701,5700,329,4652,2825,5989,9858,482,5694
+,4756,1037,3648,8911,3899,9142,7436,9205,871,1718
+,3120,1091,4829,7416,6494,5575,7206,3396,8260,2743
+,7521,5792,5096,5930,3585,1153,3823,7804,9863,1966
+,8288,6118,8520,9087,4290,9699,2145,8027,7791,246
+,5310,4168,1297,6012,3708,6095,3457,1466,5621,2243
+,4081,4465,3158,5932,6126,7328,7192,2411,8562,7483
+,3530,8398,1493,283,7927,7866,400,4402,1,8080
+,6827,8502,8541,8629,2025,5627,4547,3392,1705,5630
+,657,8537,622,215,2766,1706,4427,9564,3487,3462
+,4666,9920,3484,4676,820,3510,505,5299,8514,3756
+,1753,8244,6130,8004,7050,3225,1519,4605,7921,7860
+,1606,8563,3225,3266,5980,5403,4064,61,1833,7980
+,1207,1388,9085,7094,830,7703,6535,8165,2500,6132
+,9225,6342,1270,5274,3781,2033,3404,2154,2071,4775
+,216,8074,2241,5523,2620,7097,655,5177,3966,9147
+,7421,3373,8950,6679,5199,5333,791,6447,5640,7525
-,436,0,0,0,0,0,0,0,0,0
+,9509,1428,1319,9753,6569,6704,7456,672,3342,7673
+,1858,7941,6049,1518,9365,6185,4885,3650,3187,2478
+,4893,916,108,8328,8614,777,7668,6162,6110,8857
+,8516,4719,6661,5657,9501,9663,1422,9333,5605,5452
+,355,8096,9835,5033,6033,6149,5076,5922,7212,2292
+,3603,2620,3196,9878,403,3980,6884,5819,7050,6630
-,322,0,0,0,0,0,0,0,0,0
+,7442,5905,5450,4327,3325,2155,847,8917,2186,1475
+,5909,7563,6754,9960,3066,3508,3459,6327,3772,3131
+,4091,7233,8008,8276,4379,7928,9576,7899,6381,2268
+,7509,2006,2767,8342,8445,4586,9300,3006,3333,1555
+,9886,925,8036,1971,9120,5120,9548,3644,5,1852
+,8429,8041,6693,767,9557,8577,8660,548,1089,6424
+,7363,1658,9671,6492,73,7269,6005,6686,293,9031
+,9284,7736,326,1402,8500,3121,2933,3897,9560,3242
+,523,1532,9611,8128,6205,6288,9456,7759,9888,8109
+,6944,8988,9063,3929,788,3184,3017,5750,6998,9467
+,5021,5312,7991,2624,3370,2665,760,7716,5194,7352
+,6159,2770,7307,7527,9301,3851,8143,2566,5081,6865
+,6050,9736,1666,8103,7117,199,3526,8995,338,1823
+,6340,610,243,7890,7439,2172,2730,6073,2833,1550
+,7080,6720,6835,494,7598,5544,8744,1097,7543,4639
+,7473,7736,8086,7509,2385,150,4228,9381,916,808
+,4706,8620,9883,2436,6575,9372,1553,5043,8618,2003
+,9016,2352,1057,1823,3767,26,9641,1218,6254,8549
+,7871,4102,3035,2334,9910,2466,3391,1642,7299,3434
+,8208,6449,2265,5834,7286,7204,2437,1544,2126,8128
+,6997,5945,4928,8324,6618,6833,4581,6704,8106,9819
+,9895,7252,5883,9159,4579,9944,744,74,2114,941
+,9045,6816,7658,9428,2737,5155,8834,1198,2411,2591
+,2571,9303,8378,6669,8956,9681,9031,9400,7479,4447
+,2916,9950,5983,3395,449,8527,4136,6977,7677,2887
-,173,0,0,0,0,0,0,0,0,0
+,7113,182,8966,2237,8261,1370,2938,2362,8746,8256
+,8717,8139,4990,4944,333,694,9726,4943,2574,6265
+,8933,2090,1950,926,2617,6275,8633,6346,1738,2152
+,4630,3783,8864,6761,5765,1907,1754,9724,7582,7447
+,7859,4252,66,986,8046,689,801,970,5858,7879
